ACCOUNT,PARENT,ALIAS:_DEFAULT,'STORE',AGGREGATION_(EPBCS)
Rate per User,IT Chargeback Drivers,<none>,Store,+
Rate per Mbps,IT Chargeback Drivers,<none>,Store,+
Storage Qty Tb,IT Chargeback Drivers,<none>,Store,+
OFS_Predefined Revenue Accounts,OFS_Revenue Planning,null,Store,null
OFS_Total Cost Of Sales,OFS_Total Expense - All,null,Store,null
OFS_Total Cost Of Sales,OFS_Gross Profit,null,Store,null
OFS_Revenue Per Employee,OFS_Revenue KPIs,null,Store,null
OFS_Predefined Compensation Drivers,OFS_Predefined Expense Drivers,null,Store,null
Server Machines,IT Spends Expense Drivers,<none>,Store,+
OFS_Meetings,OFS_Total Travel and Entertainment Expense,null,Store,null
OFS_Meetings,OFS_Travel and Entertainment Expense Accounts,null,Store,null
OFS_Other Travel and Entertainment,OFS_Project Integration,null,Store,null
OFS_Other Travel and Entertainment,OFS_Travel and Entertainment Expense Accounts,null,Store,null
OFS_Other Travel and Entertainment,OFS_Total Travel and Entertainment Expense,null,Store,null
OFS_Advertising and Promotion,OFS_Marketing Expense Accounts,null,Store,null
OFS_Advertising and Promotion,OFS_Total Marketing Expense,null,Store,null
OFS_Selling Expense,OFS_Selling Expense Accounts,null,Store,null
OFS_Selling Expense,OFS_Total Selling Expense,null,Store,null
OFS_Rent Expense,OFS_Total Facilities Expenses,null,Store,null
OFS_Rent Expense,OFS_Project Integration,null,Store,null
OFS_Rent Expense,OFS_Facilities Expenses Accounts,null,Store,null
OFS_Rent Expense,OFS_Capex FinStmt Integration,null,Store,null
OFS_Utilities,OFS_Total Facilities Expenses,null,Store,null
OFS_Utilities,OFS_Facilities Expenses Accounts,null,Store,null
OFS_Professional Fees Accounts,OFS_Predefined Expense Accounts,null,Store,null
OFS_Taxes,OFS_Tax Accounts,null,Store,null
OFS_Taxes,OFS_Total Taxes,null,Store,null
OFS_Other Taxes,OFS_Total Taxes,null,Store,null
OFS_Other Taxes,OFS_Tax Accounts,null,Store,null
OFS_Operating Expenses,OFS_Expense KPIs,null,Store,null
OFS_Operating Expenses,OFS_Total Expenses,null,Store,null
OFS_Total Travel and Entertainment Expense,OFS_Operating Expenses,null,Store,null
OFS_Total Facilities Expenses,OFS_Operating Expenses,null,Store,null
