Account|Parent|Alias: Default|Data Storage|Aggregation (EPBCS)
A93500|Misc|93500-Discounts Earned|never share|+
Investment|Net Income|null|dynamic calc|+
A89230|TOTAL EXPENSES|89230-Courier/ Fed Ex/postage|never share|+
A80050|Total Comm, Salary|80050-Office Salaries|shared|+
A80050|General & Administrative Expenses|80050-Office Salaries|never share|+
A81800|General & Administrative Expenses|81800-Cleaning - Maintenance|never share|+
A82150|General & Administrative Expenses|82150-Computer Software|never share|+
A83650|General & Administrative Expenses|83650-Sales & Use Tax Expense|never share|+
A83700|General & Administrative Expenses|83700-Licensing Fees|never share|+
A84150|General & Administrative Expenses|84150-Legal - General Rep|never share|+
A84200|General & Administrative Expenses|84200-Legal - Defense & Settlement|never share|+
A84250|General & Administrative Expenses|84250-Other Professional Fees|never share|+
A90050|Interest & Real Estate Taxes|90050-Interest Expense - BMW|never share|+
A51100|Cost of Sales|51100-Lot Cost of Sales - Purchased Lots - TH|never share|+
A52500|Cost of Sales|52500-Options Cost of Sales - DX|never share|+
A52700|Cost of Sales|52700-Est. Cost to Complete - Underage - DX|never share|+
A53305|Cost of Sales|53305-Lot Market Value Contra - 2o2|never share|+
A53600|Cost of Sales|53600-Est Cost to Complete - Overage - 2o2|never share|+
A77500|Variable Costs|77500-Warranty - Reserve - Overages|never share|+
A77600|Variable Costs|77600-Warranty - Reserve - Underages|never share|+
A60250|Total Auto Allowance|60250-Sales Vehicle Allowance|shared|+
A60250|Sales & Marketing|60250-Sales Vehicle Allowance|never share|+
A62200|Sales & Marketing|62200-Advertising - Radio & T.V.|never share|+
A62400|Sales & Marketing|62400-Promotion - Realtors|never share|+
Backlog|WIP Units|null|never share|+
Total WIP|WIP Units|null|never share|+
Remaining Sales|Remaining|null|never share|+
Sr. Project Mgr|Total Production Salaries|null|never share|+
Office Bonus Adj|Total G&A Bonus|null|never share|+
Sales Bonus Adj|Total Sales Bonus|null|never share|+
Large SF DRB Bonus|Production Bonus|null|never share|+
A77200|Warranty Service Expenses|77200-Warranty - Bonuses|never share|+
A77200|Total Bonus|77200-Warranty - Bonuses|shared|+
Total Auto Allowance|Total Comm, Salary, Bonus|null|dynamic calc|+
A60250|Total Auto Allowance|60250-Sales Vehicle Allowance|shared|+
A60250|Sales & Marketing|60250-Sales Vehicle Allowance|never share|+
Sr. Project Mgt AA|Production Auto Allowance|null|never share|+
Project Mgr AA|Production Auto Allowance|null|never share|+
LD Status|Land Development|null|never share|+
Number of Lots|Land Development|null|never share|+
HB Job|Land Development|null|never share|+
Land & Development - Active|Land & Development - Total|null|never share|+
Active Community|Community Information|null|never share|+
Unapproved - OP|SmartList_Counts|Unapproved by Land Committee - Option Contract|never share|+
Options|Total Sales Price|null|never share|+
Direct Costs|Total WIP Inventory|null|never share|+
Closing Costs|Total COS|null|never share|+
Corporate Overhead Charge|Assumptions Input|null|never share|+
Assistant Warranty Mgr|Total Warranty Salaries|null|never share|+
Area Production Mgr|Total Production Salaries|null|never share|+
A89340|TOTAL EXPENSES|89340-Abstractor/Contract Closer Fees|never share|+
A89510|TOTAL EXPENSES|89510-E&O Insurance|never share|+
A89520|TOTAL EXPENSES|89520-Fidelity & Surety|never share|+
A89580|TOTAL EXPENSES|89580-Business Travel|never share|+
MD Capture|Total Capture|null|never share|+
PA Capture|Total Capture|null|never share|+
DE Capture|Total Capture|null|never share|+
Metrics|Account|null|label only|~
Units Settled|Units Input|null|never share|+
Total Starts Trailing|Units Input|null|never share|+
Total Starts Plug|Units Input|null|never share|+
Normalized Projected Availability - B Base Only|Bank Covenant Liquidity|null|dynamic calc|+
Spec Houses BB|Borrowing Base|null|never share|+
Spec Houses Under Construction (incl models)|Balance Sheet Input|null|dynamic calc|+
A20150|Accounts Payable & Accrued Expenses|20150-Accounts Payable - Other|never share|+
A23100|Completion & Service Reserves|23100-Estimated Cost to Complete|never share|+
A32000|Equity|32000-Member Equity - Sumitomo|never share|+
A39999|Retained Earning|39999-Current Year Net Earnings|never share|+
A42000|Revenue|42000-Sales - Townhome|never share|+
Cost of Sales|Gross Margin|null|dynamic calc|-
A50200|Cost of Sales|50200-Lot Cost of Sales - Dev Lots - SF|never share|+
A50600|Cost of Sales|50600-Est. Cost to Complete - Overage - SF|never share|+
A50800|Cost of Sales|50800-Closing Costs - SF|never share|+
A51500|Cost of Sales|51500-Options Cost of Sales - TH|never share|+
A13950|Inventory|13950-Warranty Service Costs|never share|+
A14100|Inventory|14100-Cost of Land and Land Development|never share|+
A14100|Total Inventory|14100-Cost of Land and Land Development|shared|+
Cash|Total Other Assets|null|dynamic calc|+
A10601|Cash|10601-Operating Account (New GA)|dynamic calc|+
A10610|Cash|10610-Division Permits|never share|+
A11200|Settlement Proceeds Receivable|11200-Settlements Receivable - House Closings|never share|+
A15050|Prepaid Expenses & Other Assets|15050-Prepaid Expenses|never share|+
A15175|Prepaid Expenses & Other Assets|15175-Prepaid Commissions - Clearing|never share|+
PP&E|Total Other Assets|null|dynamic calc|+
A18051|PP&E|18051-A/D Office Furniture, Fixtures & Equip.|never share|+
A17000|Total Other Assets|17000-ROU Lease Asset|never share|+
A20010|Accounts Payable & Accrued Expenses|20010-Knight Acuisition - Earnout|never share|+
A20100|Accounts Payable & Accrued Expenses|20100-Accounts Payable|never share|+
A63203|Sales & Marketing|63203-Elevate - Ad Agency/Prof Fees|never share|+
A63450|Sales & Marketing|63450-Model Design Fees/Accessories|never share|+
A64050|Sales & Marketing|64050-Sales Trailer Rent|never share|+
A66050|Sales & Marketing|66050-Sales Travel|never share|+
A66150|Sales & Marketing|66150-Sales Business Entertainment|never share|+
Director of Production|Total Production Salaries|null|never share|+
