Account|Parent|Alias: Default|Data Storage|Aggregation (EPBCS)
A87000|Interest & Real Estate Taxes|87000-Overhead Allocation|never share|+
A94000|Misc|94000-Deferred Compensation Expense|never share|+
A94300|Misc|94300-Inventory Impairments|never share|+
A99050|Total Units Sold|99050-Units Sold - SF|never share|+
A99450|Total Units Settled|99450-Units Settled - DX|never share|+
Total Fee Build Units|Total Units|null|dynamic calc|+
A99475|Total Fee Build Units|99475-Units Settled - FB|never share|~
Keystone Total Income|Keystone Net Income|null|dynamic calc|+
Total Title Policy Income|Keystone Total Income|null|dynamic calc|+
A49300|Total Title Policy Income|49300-SC Title Policy Income|never share|+
A49750|Total Title Policy Income|49750-DE Title Policy Income|never share|+
A89180|TOTAL EXPENSES|89180-Employee Recognition/Events|never share|+
General & Administrative Expenses|Total Operating Expenses|null|dynamic calc|+
A81050|General & Administrative Expenses|81050-Employee Recognition/Events|never share|+
A81650|General & Administrative Expenses|81650-Postage & Delivery|never share|+
A84300|General & Administrative Expenses|84300-401(K) Administration|never share|+
A85250|General & Administrative Expenses|85250-Charitable Donations|never share|+
A85300|General & Administrative Expenses|85300-Temporary Help|never share|+
A85350|General & Administrative Expenses|85350-Miscellaneous Expense|never share|+
A90800|Interest & Real Estate Taxes|90800-Interest Allocated to Inventory|never share|+
A51200|Cost of Sales|51200-Lot Cost of Sales - Developed Lots  - TH|never share|+
A52800|Cost of Sales|52800-Closing Costs - DX|never share|+
A53100|Cost of Sales|53100-Lot Cost of Sales - Purchased Lots - 2o2|never share|+
A53800|Cost of Sales|53800-Closing Costs - 2o2|never share|+
A63600|Variable Costs|63600-Deferred Marketing Expense|never share|+
A77300|Variable Costs|77300-Warranty - 3rd Party Enrollment|never share|+
A93155|Fee Build|93155-General Contracting Expenses|never share|+
A56100|Fee Build|56100-Fee Build Cost of Sales|never share|+
A62050|Sales & Marketing|62050-Advertising - Home Shows|never share|+
Beginning Available|Lot Inventory|null|never share|+
Spec Houses|WIP Units|null|shared|+
Spec Houses|Inventory|null|never share|+
FB Units Settled|Units Input|null|never share|+
Remaining Settlements|Remaining|null|never share|+
Project Mgr|Total Production Salaries|null|never share|+
A60050|Variable Costs|60050-Sales Commissions|never share|+
A60050|Total Comm, Salary|60050-Sales Commissions|shared|+
Total G&A Bonus|Total Bonus|null|dynamic calc|+
Fee Build Bonus|Production Bonus|null|never share|+
Land & Development - Total|Land Development|null|dynamic calc|+
SubMarket|Community Information|null|never share|+
Settled in Prior Year|Community Information|null|never share|+
Deferred Marketing|Community Information|null|never share|+
Number of Settlements|Community Gross Margin|null|dynamic calc|+
Standard Costs|Total WIP Inventory|null|never share|+
Option Costs|Total WIP Inventory|null|never share|+
Gross Margin $|Community Gross Margin|null|dynamic calc|+
Division Expenses|Metrics|null|label only|+
Salary and Bonus Input|Assumptions|null|never share|+
Total Comm, Salary, Bonus|Salary and Bonus Input|null|dynamic calc|+
Total Comm, Salary|Total Comm, Salary, Bonus|null|dynamic calc|+
Sales Consultant|Total Sales Salaries|null|never share|+
Sales/Marketing Support|Total Sales Salaries|null|never share|+
Division Management_Admin|Total GA Headcount|Division Management & Admin|never share|+
A14101|Total Inventory|14101-Land and Land Dev. Charged to COS|shared|+
A14101|Inventory|14101-Land and Land Dev. Charged to COS|never share|+
A14102|Inventory|14102-Developed Lots Trnsfrd to Homebldg|never share|+
A14102|Total Inventory|14102-Developed Lots Trnsfrd to Homebldg|shared|+
LD Spend|Inventory|null|never share|+
LD Spend|Total Inventory|null|shared|+
HB Job Settlements|Land Development|null|never share|+
TH|SmartList_Counts|Townhouse|never share|+
EL|SmartList_Counts|Elevate|never share|+
Approved - OP|SmartList_Counts|Approved by Land Committee  - Option Contract|never share|+
2o2|SmartList_Counts|null|never share|+
Total Sales Price|Community Gross Margin|null|dynamic calc|+
Lot Cost - Developed|Total COS|null|never share|+
Settlement Goal|Assumptions Input|Pipeline Settlement Goal|never share|+
Payroll Burden|Assumptions Input|null|dynamic calc|+
Corporate Allocation Percentage|Assumptions Input|null|never share|+
Sales Associate/Assistant|Total Sales Salaries|null|never share|+
A89560|TOTAL EXPENSES|89560-Computer Support|never share|+
A89570|TOTAL EXPENSES|89570-Seminars & Training|never share|+
A89590|TOTAL EXPENSES|89590-Business Entertainment|never share|+
Units Input|Metrics|null|label only|~
Units Started|Units Input|null|never share|+
Projected Purchases|Lot Inventory|null|never share|+
Projected Availability - B Base Only|Normalized Projected Availability - B Base Only|null|dynamic calc|+
Borrowing Base|Projected Borrowing Base|Total Borrowing Base|dynamic calc|+
Land A&D Inventory BB|Borrowing Base|null|never share|+
Reduction - Other|Total Borrowing Base Adjustments|null|never share|+
Bank Covenant Liquidity Add Back|Bank Covenant Liquidity|null|never share|+
A21300|Accounts Payable & Accrued Expenses|21300-Accrued Other|never share|+
A21450|Accounts Payable & Accrued Expenses|21450-Accrued B&O Taxes|never share|+
Customer Deposits|Total Liabilities|null|dynamic calc|+
A27000|Total Liabilities|27000-ROU Lease Liability|never share|+
Bridge Loan|Total Liabilities|Other Debt|dynamic calc|+
A34000|Equity|34000-Member Distributions - Sumitomo|never share|+
Variable Contribution|Net Income|null|dynamic calc|+
Total Assets|Balance Sheet|null|dynamic calc|+
Inventory|Total Allocation Assets|null|dynamic calc|+
Model|WIP Units|null|shared|+
Model|Inventory|null|never share|+
A13940|Inventory|13940-Acquisition Premium|never share|+
A14103|Inventory|14103-Deferred Markup on Trsfrd Lots (Contra)|never share|+
LD Spend|Inventory|null|never share|~
LD Spend|Total Inventory|null|shared|~
Total Other Assets|Total Assets|null|dynamic calc|+
A10600|Cash|10600-Operating Account|never share|+
A11675|Accounts Receivable|11675-N/R - Excavation Equipment|never share|+
Intercompany|Total Other Assets|null|dynamic calc|+
A16300|Intercompany|16300-Investment - DRB South Carolina|never share|+
A16400|Intercompany|16400-Investment - DRB Mid-Atlantic Inc|never share|+
A12140|Prepaid Expenses & Other Assets|12140-Due From Rycrew - ECC|never share|+
A12430|Prepaid Expenses & Other Assets|12430-Due To/From - Fielding|never share|+
A13801|Prepaid Expenses & Other Assets|13801-GC-Cost & Est Earn in Excess of Billing|never share|+
A19700|Prepaid Expenses & Other Assets|19700-L/D Bonds & Repair Escrows|never share|+
A16450|Investments|16450-Investment - Keystone Title Services|never share|+
A18150|PP&E|18150-Leasehold Improvements|never share|+
A19000|Total Other Assets|19000-Goodwill|never share|+
A13930|Total Other Assets|13930-Capitalized Production Overhead|never share|+
A64200|Sales & Marketing|64200-Sales Trailer Utilities|never share|+
A68450|Sales & Marketing|68450-Corp Branding - Print/Other|never share|+
A68500|Sales & Marketing|68500-Corp Websites - Hosting|never share|+
A70200|Production Expenses|70200-Production Bonuses|never share|+
A71200|Production Expenses|71200-Trailer Rental|never share|+
A71500|Production Expenses|71500-Trailer Removal|never share|+
A73900|Production Expenses|73900-Safety Expense|never share|+
A93330|Investment|93330-Investment Income - Keystone|never share|+
Total Units Sold|Total Units|null|dynamic calc|+
A99310|Total Units Started|99310-Units Started - 2o2|never share|+
A99400|Total Units Settled|99400-Units Settled - TH|never share|+
A89030|TOTAL EXPENSES|89030-Temporary Help|never share|+
A89210|TOTAL EXPENSES|89210-Rental Expense|never share|+
A89220|TOTAL EXPENSES|89220-Office Supplies|never share|+
A89320|TOTAL EXPENSES|89320-Settlement Expense - Recoverable|dynamic calc|+
A77900|Warranty Service Expenses|77900-Service Dept Tools & Equipment|never share|+
A80100|General & Administrative Expenses|80100-Office Bonuses|never share|+
A81750|General & Administrative Expenses|81750-Utilities|never share|+
A82050|General & Administrative Expenses|82050-Computer Hardware (<$1,000)|never share|+
A84400|General & Administrative Expenses|84400-Land Site Feas Work & Pre Eng.|never share|+
A85150|General & Administrative Expenses|85150-Tuition Reimbursement|never share|+
A85550|General & Administrative Expenses|85550-Business Travel|never share|+
A51700|Cost of Sales|51700-Est. Cost to Complete - Underage - TH|never share|+
A53400|Cost of Sales|53400-House Cost of Sales - 2o2|never share|+
A53509|Cost of Sales|53509-Standard Costs of Sales - 2o2|never share|+
DRB Realty Revenue|Division Expenses|null|never share|+
DRB Realty Percentage|Assumptions Input|null|never share|+
Sales Assistants|Total Sales Salaries|null|never share|+
Land|Total GA Headcount|null|never share|+
Contracts_Closing|Total GA Headcount|Contracts/Closing|never share|+
A89600|TOTAL EXPENSES|89600-Business Meals|never share|+
SC Capture|Total Capture|null|never share|+
Total Starts|Units Input|null|never share|+
Land & Development - Inactive & Closed|Land & Development - Total|null|never share|+
Bonds - Performance|Land Development|null|never share|+
Reduction - Letters of Credit|Total Borrowing Base Adjustments|null|never share|+
Debt to Equity|Balance Sheet Input|Debt to Equity (reclass of Sub Debt from debt to equity)|dynamic calc|+
A93150|Fee Build|93150-General Contracting Revenue|never share|+
A46100|Fee Build|46100-Fee Build Revenue|never share|+
Land Development Income|Net Income|null|dynamic calc|+
A59100|Land Development Income|59100-Cost of Sales - Developed Lots|never share|-
A45000|Land Development Income|45000-3rd Party (land) Sales|never share|+
A93120|Land Development Income|93120-Development Management Fee|never share|+
A62250|Sales & Marketing|62250-Advertising - Direct Mailings|never share|+
A62600|Sales & Marketing|62600-Grand Opening Events|never share|+
A62650|Sales & Marketing|62650-Homeowner Events|never share|+
A63050|Sales & Marketing|63050-Model Home Rent|never share|+
A63200|Sales & Marketing|63200-Elevate Homes - Misc.|never share|+
Remaining Starts|Remaining|null|never share|+
G&A Settlement Bonus|Total G&A Bonus|null|never share|+
G&A Misc Bonus|Total G&A Bonus|null|never share|+
Field 60' Series SF Bonus|Production Bonus|null|never share|+
Field 70' Series SF Bonus|Production Bonus|null|never share|+
Production Bonus Adj|Production Bonus|null|never share|+
Director of Production AA|Production Auto Allowance|null|never share|+
Superintendent AA|Production Auto Allowance|null|never share|+
Transfer Value|Land Development|null|never share|+
Land & Development - Mothballed|Land & Development - Total|null|never share|+
Remaining Lot Purchases|Remaining|null|dynamic calc|+
Community Information|Metrics|null|label only|+
Product Category|Community Information|null|never share|+
Product Type|Community Information|null|never share|+
Lot Source|Community Information|null|never share|+
Projected Deposit Credit|Community Information|null|never share|+
Sales Commissions|Community Information|Sales Comm|never share|+
Broker Commissions|Community Information|Broker Comm|never share|+
DUP|SmartList_Counts|Duplex|never share|+
Total Homebuilding Inventory|Division Expenses|null|dynamic calc|+
Assumptions|Metrics|null|label only|+
Cap'd interest - Development|Assumptions Input|null|never share|+
Legal Reserve|Assumptions Input|null|never share|+
Total Sales Salaries|Total Comm, Salary|null|dynamic calc|+
Total Production Salaries|Total Comm, Salary|null|dynamic calc|+
A89330|TOTAL EXPENSES|89330-Settlement Exp - Unrecoverable|never share|+
A89410|TOTAL EXPENSES|89410-Administration Services Fee - DRB|never share|+
A89650|TOTAL EXPENSES|89650-Miscellaneous Expense|never share|+
NC Capture|Total Capture|NC (Raleigh) Capture|never share|+
Actual Purchases|Lot Inventory|null|never share|+
Bank Covenant Liquidity|Balance Sheet Input|null|dynamic calc|+
A26400|Bank Loans|26400-N/P - Fifth Third Bank|never share|+
A26400|Projected Availability - B Base Only|26400-N/P - Fifth Third Bank|shared|+
Flat Fee Broker Commission|Community Information Annual|Flat Fee Broker Comm|never share|+
Calc_Members|Account|null|label only|~
Sold_NotStarted_NotOwned|Calc_Members|null|never share|+
A24000|Community Information|24000-Customer Deposits|shared|+
A24000|Customer Deposits|24000-Customer Deposits|never share|+
A26401|Bank Loans|26401-N/P - FTB Swing Line|never share|+
Equity|Total Liabilities and Equity|null|dynamic calc|+
A42100|Revenue|42100-Sales - TH - Options|never share|+
A42200|Revenue|42200-Sales - TH - Incentive|never share|+
A50400|Cost of Sales|50400-House Cost of Sales - SF|never share|+
A50510|Cost of Sales|50510-Site Cost of Sales - SF|never share|+
A50100|Cost of Sales|50100-Lot Cost of Sales - Purch Lots - SF|never share|+
A50300|Cost of Sales|50300-Lot Market Value Adjustment|never share|+
A50700|Cost of Sales|50700-Est. Cost to Complete - Underage - SF|never share|+
Sold, Not Started|Inventory|null|never share|+
Sold, Not Started|Total Sales|null|shared|+
Spec Lot|WIP Units|null|shared|+
Spec Lot|Inventory|null|never share|+
Inv Adj/Impairments/LD Spend|Inventory|null|never share|+
Inv Adj/Impairments/LD Spend|Total Inventory|null|shared|+
A19050 Purchases|A19050|19050-Project Deposit Lot Purchases|never share|+
Escrow Deposits|Total Other Assets|Cash Escrow|dynamic calc|+
Accounts Receivable|Total Other Assets|null|dynamic calc|+
A11300|Settlement Proceeds Receivable|11300-Settlements Receivable - Other|never share|+
A16050|Intercompany|16050-Investment - DRB Realty|never share|+
A16600|Intercompany|16600-Investment - DRB - North Carolina|never share|+
A12040|Prepaid Expenses & Other Assets|12040-Due To/From - Dan Ryan Builders, Inc.|never share|+
A12200|Prepaid Expenses & Other Assets|12200-Due To/From - DRB Realty|never share|+
A16785|Total Other Assets|16785-Investment – HEDR Hartland|never share|+
A18500|PP&E|18500-Deferred Marketing|never share|+
A18501|PP&E|18501-DM Accumulated Amortization|never share|+
A63300|Sales & Marketing|63300-Model Landscaping|never share|+
A64100|Sales & Marketing|64100-Sales Trailer Setup|never share|+
A64300|Sales & Marketing|64300-SalesTrailer Moving & Storage|never share|+
A65100|Sales & Marketing|65100-Sales Postage|never share|+
A67400|Sales & Marketing|67400-Common Area Maintenance|never share|+
A68550|Sales & Marketing|68550-Corp Websites - Development|never share|+
Production Expenses|Total Operating Expenses|null|dynamic calc|+
A70100|Production Expenses|70100-Production Salaries|never share|+
A73200|Production Expenses|73200-Tools & Supplies|never share|+
A73650|Production Expenses|73650-Utilities - Houses under Const.|never share|+
Warranty Service Expenses|Total Operating Expenses|null|dynamic calc|+
A93400|Misc|93400-Interest Income|never share|+
A98999|Misc|98999-Contingency|never share|+
A49500|Total Title Policy Income|49500-VA Title Policy Income|never share|+
A77250|Warranty Service Expenses|77250-Warranty - Vehicle Allowance|never share|+
A77250|Total Auto Allowance|77250-Warranty - Vehicle Allowance|shared|+
A80550|General & Administrative Expenses|80550-Payroll Tax Expense|never share|+
A81200|General & Administrative Expenses|81200-Recruiting|never share|+
A82200|General & Administrative Expenses|82200-System Conversion Expense|never share|+
A83150|General & Administrative Expenses|83150-Insurance - Claims Paid|never share|+
A86100|General & Administrative Expenses|86100-Depreciation|never share|+
A86160|General & Administrative Expenses|86160-Goodwill Amortization|never share|+
A51800|Cost of Sales|51800-Closing Costs - TH|never share|+
A52200|Cost of Sales|52200-Lot Cost of Sales - Developed Lots  - DX|never share|+
A52600|Cost of Sales|52600-Est. Cost to Complete - Overage - DX|never share|+
A61050|Variable Costs|61050-Broker Commissions|never share|+
A60150|Sales & Marketing|60150-Sales Bonuses|never share|+
A62550|Sales & Marketing|62550-Photography|never share|+
A63150|Sales & Marketing|63150-Model Home Real Estate Tax|never share|+
WIP Units|Units Input|null|label only|+
Model|WIP Units|null|shared|+
Model|Inventory|null|never share|+
FB Units Started|Units Input|null|never share|+
Superintendent|Total Production Salaries|null|never share|+
G&A Start Bonus|Total G&A Bonus|null|never share|+
Project Mgt AA|Production Auto Allowance|null|never share|+
Transfers|Land Development|null|never share|+
Unapproved - LD|SmartList_Counts|Unapproved by Land Committee - Land Development|never share|+
Bank|Community Information|null|never share|+
Community Gross Margin|Metrics|null|label only|+
Active Month|Division Expenses|null|dynamic calc|+
A99350|Total Units Settled|99350-Units Settled - SF|never share|+
A99460|Total Units Settled|99460-Units Settled - 2o2|dynamic calc|+
Projected Closings|Keystone|null|never share|+
Total Settlement & Int Income|Keystone Total Income|null|dynamic calc|+
A49100|Total Settlement & Int Income|49100-Non DRB Settlement Income|never share|+
A49400|Total Title Policy Income|49400-WV Title Policy Income|never share|+
A89010|TOTAL EXPENSES|89010-Office Salaries|never share|+
A77200|Warranty Service Expenses|77200-Warranty - Bonuses|never share|+
A77200|Total Bonus|77200-Warranty - Bonuses|shared|+
A77700|Warranty Service Expenses|77700-Warranty-Out of Warr Exp >1yr|never share|+
A80150|General & Administrative Expenses|80150-Admin. Vehicle Allowance|never share|+
A81600|General & Administrative Expenses|81600-Office Supplies|never share|+
A82250|General & Administrative Expenses|82250-Equip. Exp - Lease & Maintenance|never share|+
A83100|General & Administrative Expenses|83100-Insurance - Workman's Comp|never share|+
A85600|General & Administrative Expenses|85600-Business Meals|never share|+
A86150|General & Administrative Expenses|86150-Amortization|never share|+
A90300|Interest & Real Estate Taxes|90300-Interest Exp - Subordinated Debt|never share|+
A51520|Cost of Sales|51520-Building Fees - TH|never share|+
A53520|Cost of Sales|53520-Building Fees - 2o2|never share|+
A53700|Cost of Sales|53700-Est Cost to Complete - Underage 2o2|never share|+
A60050|Variable Costs|60050-Sales Commissions|never share|+
A60050|Total Comm, Salary|60050-Sales Commissions|shared|+
A61100|Variable Costs|61100-Broker Incentive Programs|never share|+
A59200|Land Development Income|59200-3rd Party Cost of Sales - Developed Lots|never share|-
A62300|Sales & Marketing|62300-Community Signs & Displays|never share|+
Ending Lot Inventory|Lot Inventory|null|dynamic calc|+
Spec Lot|WIP Units|null|shared|+
Spec Lot|Inventory|null|never share|+
Remaining|Units Input|null|label only|+
Production Misc|Total Production Salaries|null|never share|+
Small TH Bonus|Production Bonus|null|never share|+
Large TH Bonus|Production Bonus|null|never share|+
Elev SF Bonus|Production Bonus|null|never share|+
2o2 Bonus|Production Bonus|null|never share|+
Sr. Project Mgr AA|Production Auto Allowance|null|never share|+
Land Development|Metrics|null|label only|+
Total Inventory|Land Development|null|dynamic calc|+
